127.0.0.1, 2019-09-13 10:47:43, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000480
127.0.0.1, 2019-09-13 10:47:50, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.039328
127.0.0.1, 2019-09-13 10:47:51, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000400
127.0.0.1, 2019-09-13 10:47:58, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.027426
127.0.0.1, 2019-09-13 10:47:59, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000575
127.0.0.1, 2019-09-13 10:48:32, GET, /locadora/default/ver_filmes, HTTP/1.1, 500, 0.062097
127.0.0.1, 2019-09-13 10:48:32, GET, /favicon.ico, HTTP/1.1, 400, 0.002084
127.0.0.1, 2019-09-13 10:48:42, GET, /locadora/default/ver_filmes, HTTP/1.1, 500, 0.055588
127.0.0.1, 2019-09-13 10:48:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2019-09-13 10:48:53, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.032152
127.0.0.1, 2019-09-13 10:48:54, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.000583
127.0.0.1, 2019-09-13 10:49:06, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.040245
127.0.0.1, 2019-09-13 10:49:06, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.001898
127.0.0.1, 2019-09-13 10:49:15, GET, /locadora/default/ver_filmes, HTTP/1.1, 200, 0.029969
127.0.0.1, 2019-09-13 10:49:15, GET, /locadora/static/images/favicon.ico, HTTP/1.1, 200, 0.002414
